train_mae_step,epoch,step,valid_loss,valid_mae,train_loss,train_mae_epoch,test_loss,test_mae
,33,203,114931.796875,230.42471313476562,,,,
,33,203,,,129828.609375,240.9912872314453,,
162.48536682128906,34,204,,,,,,
212.04638671875,34,209,,,,,,
,34,209,115960.3671875,234.58935546875,,,,
,34,209,,,135628.890625,237.09446716308594,,
253.19876098632812,35,214,,,,,,
,35,215,111678.09375,227.34010314941406,,,,
,35,215,,,112973.0546875,215.77706909179688,,
252.94302368164062,36,219,,,,,,
,36,221,143106.265625,250.34278869628906,,,,
,36,221,,,130526.1796875,235.88873291015625,,
224.23797607421875,37,224,,,,,,
,37,227,135920.3125,244.7956085205078,,,,
,37,227,,,137456.234375,245.51742553710938,,
245.4964599609375,38,229,,,,,,
,38,233,107365.1171875,239.95533752441406,,,,
,38,233,,,119372.8359375,230.76611328125,,
250.9781036376953,39,234,,,,,,
199.40931701660156,39,239,,,,,,
,39,239,102426.09375,217.95091247558594,,,,
,39,239,,,101171.6796875,220.84933471679688,,
219.94033813476562,40,244,,,,,,
,40,245,111266.46875,222.0341339111328,,,,
,40,245,,,113683.8828125,225.5830078125,,
207.25701904296875,41,249,,,,,,
,41,251,109882.296875,220.71649169921875,,,,
,41,251,,,112247.2109375,219.19500732421875,,
179.76080322265625,42,254,,,,,,
,42,257,96417.3203125,224.0480499267578,,,,
,42,257,,,94067.8515625,212.2408905029297,,
196.3943634033203,43,259,,,,,,
,43,263,98547.6796875,225.19349670410156,,,,
,43,263,,,147602.671875,252.09518432617188,,
193.5951690673828,44,264,,,,,,
191.9988555908203,44,269,,,,,,
,44,269,94222.140625,211.94857788085938,,,,
,44,269,,,112292.171875,226.01181030273438,,
219.9200897216797,45,274,,,,,,
,45,275,104263.09375,215.21360778808594,,,,
,45,275,,,97885.5859375,213.7153778076172,,
176.6936798095703,46,279,,,,,,
,46,281,132240.9375,276.9994812011719,,,,
,46,281,,,131006.375,230.00067138671875,,
193.14007568359375,47,284,,,,,,
,47,287,101768.828125,226.17408752441406,,,,
,47,287,,,141455.734375,256.12811279296875,,
255.47825622558594,48,289,,,,,,
,48,293,121186.96875,263.98388671875,,,,
,48,293,,,89826.8515625,205.27108764648438,,
338.38446044921875,49,294,,,,,,
198.86724853515625,49,299,,,,,,
,49,299,104098.5703125,229.50115966796875,,,,
,49,299,,,108526.796875,236.13345336914062,,
,50,300,,,,,104098.5703125,229.50115966796875
